Province ,Farm_Area_Size,NAICS,Description,Gross_Farm_Receipt_Category,Number_of_Farms
British Columbia,All,11,All,Total ,"17,528"
British Columbia,All,11211,Dairy cattle and milk production,Total ,517
British Columbia,All,11212,"Beef cattle ranching and farming, including feedlots",Total ,"2,362"
British Columbia,All,11221,Hog and pig farming,Total ,101
British Columbia,All,1123,Poultry and egg production,Total ,"1,220"
British Columbia,All,1124,Sheep and goat farming,Total ,553
British Columbia,All,1129,Other animal production,Total ,"3,342"
British Columbia,All,1111,Oilseed and grain farming,Total ,304
British Columbia,All,1112,Vegetable and melon farming,Total ,"1,135"
British Columbia,All,1113,Fruit and tree nut farming,Total ,"3,180"
British Columbia,All,111411,Mushroom production,Total ,45
British Columbia,All,111419,Other food crops grown under cover,Total ,182
British Columbia,All,111421,Nursery and tree production,Total ,997
British Columbia,All,111422,Floriculture production,Total ,275
British Columbia,All,1119,Other crop farming,Total ,"3,315"
British Columbia,1 acre,11,All,Total ,430
British Columbia,1 acre,11211,Dairy cattle and milk production,Total ,3
British Columbia,1 acre,11212,"Beef cattle ranching and farming, including feedlots",Total ,4
British Columbia,1 acre,11221,Hog and pig farming,Total ,1
British Columbia,1 acre,1123,Poultry and egg production,Total ,62
British Columbia,1 acre,1124,Sheep and goat farming,Total ,11
British Columbia,1 acre,1129,Other animal production,Total ,128
British Columbia,1 acre,1111,Oilseed and grain farming,Total ,0
British Columbia,1 acre,1112,Vegetable and melon farming,Total ,55
British Columbia,1 acre,1113,Fruit and tree nut farming,Total ,54
British Columbia,1 acre,111411,Mushroom production,Total ,6
British Columbia,1 acre,111419,Other food crops grown under cover,Total ,13
British Columbia,1 acre,111421,Nursery and tree production,Total ,45
British Columbia,1 acre,111422,Floriculture production,Total ,25
British Columbia,1 acre,1119,Other crop farming,Total ,23
British Columbia,2-10 acres,11,All,Total ,"6,102"
British Columbia,2-10 acres,11211,Dairy cattle and milk production,Total ,31
British Columbia,2-10 acres,11212,"Beef cattle ranching and farming, including feedlots",Total ,240
British Columbia,2-10 acres,11221,Hog and pig farming,Total ,53
British Columbia,2-10 acres,1123,Poultry and egg production,Total ,772
British Columbia,2-10 acres,1124,Sheep and goat farming,Total ,276
British Columbia,2-10 acres,1129,Other animal production,Total ,"1,189"
British Columbia,2-10 acres,1111,Oilseed and grain farming,Total ,22
British Columbia,2-10 acres,1112,Vegetable and melon farming,Total ,611
British Columbia,2-10 acres,1113,Fruit and tree nut farming,Total ,"1,537"
British Columbia,2-10 acres,111411,Mushroom production,Total ,24
British Columbia,2-10 acres,111419,Other food crops grown under cover,Total ,87
British Columbia,2-10 acres,111421,Nursery and tree production,Total ,582
British Columbia,2-10 acres,111422,Floriculture production,Total ,159
British Columbia,2-10 acres,1119,Other crop farming,Total ,519
British Columbia,11 acres and over,11,All,Total ,"10,996"
British Columbia,11 acres and over,11211,Dairy cattle and milk production,Total ,483
British Columbia,11 acres and over,11212,"Beef cattle ranching and farming, including feedlots",Total ,"2,118"
British Columbia,11 acres and over,11221,Hog and pig farming,Total ,47
British Columbia,11 acres and over,1123,Poultry and egg production,Total ,386
British Columbia,11 acres and over,1124,Sheep and goat farming,Total ,266
British Columbia,11 acres and over,1129,Other animal production,Total ,"2,025"
British Columbia,11 acres and over,1111,Oilseed and grain farming,Total ,282
British Columbia,11 acres and over,1112,Vegetable and melon farming,Total ,469
British Columbia,11 acres and over,1113,Fruit and tree nut farming,Total ,"1,589"
British Columbia,11 acres and over,111411,Mushroom production,Total ,15
British Columbia,11 acres and over,111419,Other food crops grown under cover,Total ,82
