Farm_Type,Average_revenue,Average_expense
Oilseed and grain farming,528185,396395
Potato farming,2225853,1750056
Vegetable and melon farming,654581,531569
Fruit and tree nut farming,401226,328741
Nursery and tree production,1625108,1330719
Floriculture production,1625108,1330719
Other crop farming,176231,141041
"Beef cattle ranching and farming, including feedlots",429019,409220
Dairy cattle and milk production,916721,734493
Hog and pig farming,2662240,2513513
Poultry and egg production,1325433,1121960
Other animal production,343264,300431
Sheep and goat farming,343264,300431
Mushroom production,654581,531569
Other food crops grown under cover,176231,141041
